name,name2,gender,nation,birth,height,weight,event,nationplace,身高
李响 , Li Xiang,男,中国,1993年7月2日,1.92米,86公斤,游泳,天津,1.9
李宗伟 ,Lee Chongwei,男,马来西亚,1982年10月21日,172厘米,60kg,羽毛球,,172
拉斐尔·纳达尔 ,Rafael Nadal,男,西班牙,1986年6月3日,185厘米,85kg,网球,,185
吕秀芝 ,LYU Xiuzhi,女,中国,1993年10月26日,156cm,42kg,女子20公里竞走,安徽,156
林俊红 ,Lin Junhong,女,中国,1990年12月9日,163厘米,61kg,自行车,黑龙江省,163
李冬晓 ,Li Dongxiao,女,中国,1987年11月26日,175厘米,60kg,女子曲棍球,辽宁,175
李玲[2] ,Li Ling,女,中国,1989年7月6日,185厘米,63kg,女子撑杆跳高,山东,185
刘兆尘 ,Liu Zhaochen,男,中国,1995年,,,游泳,浙江,
刘海萍 ,Liu Haiping,女,中国,1988年6月3日,174厘米,70kg,皮划艇静水,山东省,174
李露 ,Li Lu,女,中国,,,,皮划艇激流,四川,
林跃 ,Lin Yue,男,中国,1991年7月24日,157厘米,46kg,跳水,北京,157
刘浩 ,Liu Hao,男,中国,1988年,,,自行车,吉林,
吕会会 ,LYU Huihui,女,中国,1989年6月26日,171cm,68kg,女子标枪,河南,171
刘婷婷 ,Liu tingting,女,,,,,链球,,
李红侠 ,Li Hongxia ,女,中国,1986年9月10日,169厘米,62kg,女子曲棍球,辽宁,169
李玲蔚 ,Li Lingwei,女,中国,1989年1月26日,175厘米,68kg,女子标枪,山东,175
陆滢 ,Lu Ying,女,中国,1989年1月22日,175厘米,62kg,游泳,上海市,175
路易斯·斯科拉 ,Luis Scola,男,阿根廷,1980年4月30日,206厘米,111kg,篮球,,206
露雯 ,Lu Wen,女,中国,1990年4月,191厘米,78kg,篮球,内蒙古鄂尔多斯,191
劳瑞·马纳多 ,Laure Manaudou,女,法国,1986年10月9日,178厘米,62kg,游泳,,178
罗贝塔·文奇 ,Roberta Vinci,女,意大利,1983年2月18日,,,网球,,
梁美玉 ,Liang meiyu,女,中国,1994年1月8日,166cm,65kg,曲棍球,广东,166
罗晓玲 ,Luo Xiaoling,女,中国,1988年,,,自行车,甘肃,
李雪芮 ,Li Xue Rui,女,中国,1991年1月24日,173厘米,65kg,羽毛球,重庆,173
拉菲尼亚 ,Rafael,男,巴西,1993年3月12日,178cm,75kg,男子足球,,178
米西·富兰克林 ,Missy Franklin,女,美国,1995年5月10日,1.88米,75kg,游泳,,1.8
李胜珍 ,Li Shengzhen,女,韩国,1985年3月7日,165 厘米,60kg,射箭,,165
